Neyer Gap Test V1.14 full relevant suite
MATLAB release: 2022b
Passed: 241
Failed: 0
Incomplete: 0
Elapsed seconds: 43.981
Archived version-specific gates excluded: V1.9, V1.10, V1.11, V1.12, V1.13 audit snapshots, and abandoned V2.
V1.13 preservation is covered by TestV114ReleaseIsolation.
TestBaselineCharacterization/locksCurrentStageSequenceAndStageTwoSigma | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalModeAlwaysEnforcesTwoResolutionFloor | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalResultCarriesTheCompleteMeasurementRecord | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalResultKeepsOneReadingWithoutRedundantUncertaintyField | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/stageTwoKeepsTheNearestUsefulReachableRequest | Passed=1 Failed=0 Incomplete=0
TestPhysicalRunEntryPoint/physicalPaperReplayExercisesTheNormalRunPath | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/settingsRequirePhysicalIncrement | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/settingsStoreConfirmedIncrement | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/settingsSeparateFoilFromUsableResolution | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/directSettingsCreateReachableRegularGapList | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/directSettingsRejectMaximumNotAboveMinimum | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/directInputErrorsUseVisibleQuestionNames | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/changedDirectOverridesRebuildReachableGaps | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/usableResolutionMustSupportTwoDecimalRequests | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/combinationPlanDoesNotTreatFoilAsUsableStep | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/regularPlanCarriesItsConfirmedStep | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/editedRegularPlanCannotSilentlyReplaceInvalidStep | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/requestedGapInstructionUsesTwoDecimalPlaces | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/responseParsesOneMeasurement | Passed=1 Failed=0 Incomplete=0
TestPhysicalUiInputs/responseRejectsWrongCountOrInvalidReading | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/deterministicShardsMatchSingleRun | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/mergeRejectsMissingShard | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/mergeRejectsDuplicateRows | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/mergeRejectsConfigurationMismatch | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/completeMergeWritesOneScenarioSummary | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/calibrationCanDeclareAFixedCandidateQuantity | Passed=1 Failed=0 Incomplete=0
TestPlannerSimulation/compactCalibrationConfigExpandsCandidateQuantities | Passed=1 Failed=0 Incomplete=0
TestPlannerUiSource/plannerIsOneGuidedWorksheet | Passed=1 Failed=0 Incomplete=0
TestPlannerUiSource/everyMainPlannerQuestionHasPlainHelp | Passed=1 Failed=0 Incomplete=0
TestPlannerUiSource/mainMenuHidesPlannerFromDirectTesting | Passed=1 Failed=0 Incomplete=0
TestPlannerUiSource/directRunDoesNotSilentlyUseAStoredPlannerResult | Passed=1 Failed=0 Incomplete=0
TestPlannerUiSource/saveScreenShowsExactDestinationBeforeWriting | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/acceptsPercentOrFractionInputs | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/acceptsApprovedPercentageEdges | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/labelsConfidenceBelowFiftyAsExploratory | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/labelsFiftyAsNoSafetyMargin | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/labelsAboveFiftyAsConservativeProtection | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/requiresAnExplicitOutcome | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/rejectsPercentagesOutsideApprovedRange | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/rejectsReversedPhysicalExpectations | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/rejectsInvalidPermittedRange | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/availableModeNeedsAWholePositiveArticleCount | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/accuracyMustFitInsidePermittedRange | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/tighterGapAccuracyNeverReducesArticleQuantity | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/higherCautiousConfidenceNeverReducesQuantity | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/moreDemandingReliabilityNeverReducesQuantity | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/physicalCapabilityCanMakeRequestUnsupported | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/firstStudyExplainsNinetyFivePercentAssumption | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/veryBroadUnknownStudySuggestsDiscovery | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/explanationDoesNotHideHalfSigmaRule | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/plannerSummarySeparatesMainAndReserveGroups | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/validatedReliabilityFloorExtendsOnlyTheReservePlan | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/plannerSummaryExplainsReliabilitySafetyFloor | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/fiftyPercentConfidenceRemainsExploratory | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/aboveNinetyFivePercentIsCalculatedButNotSafetySupported | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/ninetyFivePercentIsInsideRecordedSupport | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/moreAvailableArticlesDoNotReduceExpectedConfidence | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/availableArticleAnswerNeverExceedsValidatedConfidence | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/moreAvailableArticlesDoNotReduceExpectedReliability | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/availableArticleAnswerKeepsOneUserChoiceFixed | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/articlesBelowSafetyFloorDoNotCreateReliabilityClaim | Passed=1 Failed=0 Incomplete=0
TestPreTestPlanner/inversePlannerReportsPhysicalLimitation | Passed=1 Failed=0 Incomplete=0
TestProposedNeyer/stageOneUsesPriorMeanBoundWhenItReachesFarther | Passed=1 Failed=0 Incomplete=0
TestProposedNeyer/partOneBisectsWhileSeparationExceedsSigma | Passed=1 Failed=0 Incomplete=0
TestProposedNeyer/successivePartTwoVisitsShrinkWorkingSigma | Passed=1 Failed=0 Incomplete=0
TestProposedNeyer/partTwoNeverReturnsToPartOneBisection | Passed=1 Failed=0 Incomplete=0
TestProposedNeyer/preservesPublishedTableOne | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/regularModesCoverApprovedIncrementExamples | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/regularIncrementMustFitTwoDecimalRequest | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/confirmedListIsSortedDeduplicatedAndBounded | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/combinationsPreserveBuildRecipe | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/plannerRejectsUnverifiedFoilRecipe | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/plannerAcceptsMeasuredPrintedSpacerRecipe | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/interactionRoundsDownAndNoInteractionRoundsUp | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/finalOperatingGapIsJudgedAgainstTheTrueBoundary | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/operatingInstructionUsesOneExtraSafeSetting | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/operatingInstructionIsWithheldWithoutExtraSafeSetting | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/repeatedSettingMovesToNearestDifferentSafeGap | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/reportsWhenNoDifferentSafeSettingExists | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/sequentialSelectionReportsExhaustedCapability | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/sequentialSelectionCanRevisitAnOlderUsefulGap | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/finalBoundsCannotCreateAnUnreachableRequest | Passed=1 Failed=0 Incomplete=0
TestReachableGapModel/rejectsEmptyPhysicalCapability | Passed=1 Failed=0 Incomplete=0
TestReferenceTable/reproducesPublishedTableOneTrajectory | Passed=1 Failed=0 Incomplete=0
TestResolutionAwareStage2/everySelectedLevelIsReachable | Passed=1 Failed=0 Incomplete=0
TestResolutionAwareStage2/stageTwoWidthDoesNotShrinkBelowResolutionFloor | Passed=1 Failed=0 Incomplete=0
TestResolutionAwareStage2/partTwoChoosesReachableLevelOutsideCurrentBracket | Passed=1 Failed=0 Incomplete=0
TestResultDecision/interactionInstructionUsesGapOrSmaller | Passed=1 Failed=0 Incomplete=0
TestResultDecision/noInteractionInstructionUsesGapOrLarger | Passed=1 Failed=0 Incomplete=0
TestResultDecision/outOfRangeBoundaryIsNotPresentedAsUsable | Passed=1 Failed=0 Incomplete=0
TestResultDecision/unplannedResultIsClearlyEstimateOnly | Passed=1 Failed=0 Incomplete=0
TestResultDecision/planSafetyRulesOverrideACompleteFlag | Passed=1 Failed=0 Incomplete=0
TestResultDecision/articleFloorOverridesACompleteFlag | Passed=1 Failed=0 Incomplete=0
TestResultDecision/missingSafetyFieldsCannotIssueInstruction | Passed=1 Failed=0 Incomplete=0
TestResultDecision/editedSafetyRulesCannotIssueInstruction | Passed=1 Failed=0 Incomplete=0
TestResultDecision/textUsesOverallVariationAndSeparatesMiddleFromReliability | Passed=1 Failed=0 Incomplete=0
TestResultDecision/resultWindowKeepsBothVisualExplanationsWithoutPlannerDecision | Passed=1 Failed=0 Incomplete=0
TestResultDecision/savedHtmlUsesSamePlainMeanings | Passed=1 Failed=0 Incomplete=0
TestResultDecision/distributionChartUsesOverallVariationLanguage | Passed=1 Failed=0 Incomplete=0
TestResultDecision/compactDistributionLeavesReliabilityLimitsToProbabilityChart | Passed=1 Failed=0 Incomplete=0
TestShrinkOnly/preservesPublishedTableOne | Passed=1 Failed=0 Incomplete=0
TestShrinkOnly/contractsSigmaAcrossSeparatedProbeVisits | Passed=1 Failed=0 Incomplete=0
TestSpacerBatchSample/summarizesTenSpacerSamplesWithoutIndividualInventoryIds | Passed=1 Failed=0 Incomplete=0
TestSpacerBatchSample/rejectsUnequalReadingCountsInsideAGroup | Passed=1 Failed=0 Incomplete=0
TestSpacerBatchSample/rejectsAReleasedCsvWithMissingReadings | Passed=1 Failed=0 Incomplete=0
TestStage1Only/usesUpperPriorBoundWhenItReachesFarther | Passed=1 Failed=0 Incomplete=0
TestStage1Only/usesLowerPriorBoundWhenItReachesFarther | Passed=1 Failed=0 Incomplete=0
TestStage1Only/preservesPublishedTableOne | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/oneOutcomeOnlyAsksForDeclaredReserve | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/overlapMustExist | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/fitMustBeFinite | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/middleAccuracyMustBeMet | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/reliabilityBoundaryMustBeInsidePermittedRange | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/aSafeReachableSettingMustExist | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/completeMainCheckpointStopsWithoutReserves | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/reliabilityResultCannotCompleteBeforeValidatedFloor | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/validatedFloorCanCompleteAtFourHundred | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/skipsAnEmptyFirstReserveAndOffersSecondReserve | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/exploratoryConfidenceCannotIssueReliabilityInstruction | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/aboveValidatedConfidenceCannotIssueReliabilityInstruction | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/missingSafetyRulesAreRejected | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/exhaustedReserveTwoReportsUnsupported | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/runStopsAtMainWhenReserveIsNotApproved | Passed=1 Failed=0 Incomplete=0
TestStudyCheckpoint/runUsesOnlyExplicitlyApprovedReserveGroup | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/savesReadableVersionedPlanAtExactSelectedPath | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/savedPlanRoundTripsImportantValues | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/refusesToReplaceExistingPlan | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/missingPlanHasUnderstandableNamedError | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/invalidJsonHasUnderstandableNamedError | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/unsupportedPlanVersionIsRejected | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/olderPlanWithoutSafetyFieldsIsRejected | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/editedArticleFloorIsRejected | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/confidenceAndSupportFlagMustAgree | Passed=1 Failed=0 Incomplete=0
TestStudyPlanStorage/editedReliabilityOutsidePlannerRangeIsRejected | Passed=1 Failed=0 Incomplete=0
TestTransitionOnly/bisectsWhenGapIsGreaterThanSigma | Passed=1 Failed=0 Incomplete=0
TestTransitionOnly/treatsNumericalEqualityAsTransition | Passed=1 Failed=0 Incomplete=0
TestTransitionOnly/preservesPublishedTableOne | Passed=1 Failed=0 Incomplete=0
TestUiCaptureScript/captureScriptCoversEveryOperatorScreen | Passed=1 Failed=0 Incomplete=0
TestV114EmbeddedProbability/interactionChanceFallsWhenGapIncreases | Passed=1 Failed=0 Incomplete=0
TestV114EmbeddedProbability/outcomeChancesAreComplements | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/directWindowDefaultsToUnknownVariationRoute | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/automaticScaleUsesOneSixthOfMiddleRange | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/automaticScaleNeverFallsBelowReachableSpacing | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/firstStudyNeedsNoVariationEntry | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/advancedStudyKeepsEnteredStartingVariation | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/confirmedListUsesItsSmallestSpacing | Passed=1 Failed=0 Incomplete=0
TestV114FirstStudyInputs/invalidStudyModeIsRejectedClearly | Passed=1 Failed=0 Incomplete=0
TestV114FocusedUi/mainMenuIsOnlyForTheGapStudy | Passed=1 Failed=0 Incomplete=0
TestV114FocusedUi/resultScreenDoesNotIssuePlannerDecision | Passed=1 Failed=0 Incomplete=0
TestV114FocusedUi/helpExplainsFirstStudyAndExcludesQualificationPlanner | Passed=1 Failed=0 Incomplete=0
TestV114ReleaseIsolation/v113LiveScriptRemainsByteForByteFrozen | Passed=1 Failed=0 Incomplete=0
TestV114Standalone/standaloneFilesExistAndV113IsStillFrozen | Passed=1 Failed=0 Incomplete=0
TestV114Standalone/liveScriptMatchesAssembledFunctions | Passed=1 Failed=0 Incomplete=0
TestV114Standalone/liveScriptContainsReviewedSourceAndFocusedMenu | Passed=1 Failed=0 Incomplete=0
TestV114UnknownVariationSimulation/deterministicStudyUsesUnknownRouteAndReachableRequests | Passed=1 Failed=0 Incomplete=0
TestV114UnknownVariationSimulation/sameSeedProducesSameStudy | Passed=1 Failed=0 Incomplete=0
TestMeasurementRecord/acceptsOneFiniteNonnegativeMeasurement | Passed=1 Failed=0 Incomplete=0
TestMeasurementRecord/rejectsMoreThanOneMeasurement | Passed=1 Failed=0 Incomplete=0
TestMeasurementRecord/rejectsInvalidMeasurement | Passed=1 Failed=0 Incomplete=0
TestMeasurementRecord/csvContainsOneReadingWithoutRedundantUncertaintyColumn | Passed=1 Failed=0 Incomplete=0
TestMeasurementRecord/saveRefusesToReplaceExistingFile | Passed=1 Failed=0 Incomplete=0
