scenario,test,selected_level,latent_threshold,response_yes,recorded_stage,going_in_mu,going_in_sigma
wide_transition,3,1,7.60962474853024,0,1,5,1
wide_transition,4,2,3.35440465834214,0,2,2,1
wide_transition,5,3.78,-2.37474925786188,1,2,2.5,1
wide_transition,6,1.25,6.20402344138161,0,2,2.5,1
wide_transition,7,3.71,4.02987210974705,0,2,2.5,1
wide_transition,8,4.38,9.04940572685425,0,3,3.19496044567776,0.94976050813937
wide_transition,9,5.89,4.80346560267423,1,3,3.76454741519565,1.58783029866268
wide_transition,10,5.57,5.90412074586135,0,3,3.68668437813103,1.42712404106863
wide_transition,11,7.9,5.3986575196857,1,3,4.38776425692037,2.5362949991299
wide_transition,12,7.42,1.82331533733749,1,3,4.2875062341103,2.2811989208315
wide_transition,13,7.09,3.55792339749876,1,3,4.21833597850226,2.11525373699252
wide_transition,14,1.55,10.8183290794812,0,3,4.16376178898995,1.99248505389215
wide_transition,15,6.65,4.89921664520919,1,3,4.22379290682266,1.88584203542188
wide_transition,16,1.93,1.8574151129962,1,3,4.16928771621048,1.79757104055786
wide_transition,17,0.44,4.169933822459,0,3,3.67055765175004,2.42002272135131
wide_transition,18,0.67,7.79400323210489,0,3,3.72845541237494,2.30843722052055
wide_transition,19,6.63,2.67954996402321,1,3,3.77757138046001,2.21838385239877
wide_transition,20,1.02,7.43379020086042,0,3,3.72598068605687,2.13686290781224
coarse_rounding,1,5,5.05351212283433,0,1,5,1
coarse_rounding,2,7,5.39897185760468,1,1,5,1
coarse_rounding,3,6,1.86883805581883,1,2,6,1
coarse_rounding,4,4,5.78531714792607,0,2,5.5,1
coarse_rounding,5,4,4.35374477184745,0,2,5.5,1
coarse_rounding,6,7,5.89185579706345,1,2,5.5,1
coarse_rounding,7,7,5.9320235330572,1,2,5.5,1
coarse_rounding,8,4,3.46448469080296,1,2,5.5,1
coarse_rounding,9,3,5.07459199234263,0,3,4.79360378436649,1.07079509022505
coarse_rounding,10,6,4.33893715580126,1,3,4.82012797797649,1.0167318038111
coarse_rounding,11,6,4.70502879434711,1,3,4.7456120389539,0.93378159774959
coarse_rounding,12,4,5.97255787512447,0,3,4.69833409920177,0.876085953446719
coarse_rounding,13,6,6.48663591703599,0,3,4.77793950706989,0.820430675607728
coarse_rounding,14,4,4.10012981962201,0,3,5.13243312929605,1.14604941161215
coarse_rounding,15,4,3.25647197700322,1,3,5.18877180020406,1.08732546166447
coarse_rounding,16,3,5.65191790886071,0,3,4.91951306079837,1.35864858326266
coarse_rounding,17,7,5.79650746655699,1,3,4.94631725035855,1.30464901408869
coarse_rounding,18,3,3.75100041149049,0,3,4.92410524847205,1.26384747629316
coarse_rounding,19,6,5.52669410284618,1,3,4.94440076954253,1.22799072915191
coarse_rounding,20,3,5.07627577771941,0,3,4.88960838978901,1.17724761825674
